Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,106.650002,108.040001,105.900002,108.000000,102.159950,137982000
2014-11-03,108.220001,110.300003,107.720001,109.010002,103.115334,199952900
2014-11-10,109.019997,114.190002,108.400002,114.180000,108.474121,205166700
2014-11-17,114.269997,117.570000,113.300003,116.470001,110.649666,233414700
2014-11-24,116.849998,119.750000,116.620003,118.930000,112.986725,181873900
2014-12-01,118.809998,119.250000,111.269997,115.000000,109.253128,266589700
2014-12-08,114.099998,114.849998,109.349998,109.730003,104.246490,259868000
2014-12-15,110.699997,113.239998,106.260002,111.779999,106.194031,328856600
2014-12-22,112.160004,114.519997,111.970001,113.989998,108.293594,119396500
2014-12-29,113.790001,114.769997,107.349998,109.330002,103.866470,152088400
2015-01-05,108.290001,113.250000,104.629997,112.010002,106.412552,283252500
2015-01-12,112.599998,112.800003,105.199997,105.989998,100.693382,303607000
2015-01-19,107.839996,113.750000,106.500000,112.980003,107.334084,198737000
2015-01-26,113.739998,120.000000,109.029999,117.160004,111.305183,465842700
2015-02-02,118.050003,120.510002,116.080002,118.930000,112.986725,270757300
2015-02-09,118.550003,127.480003,118.430000,127.080002,121.205933,303206800
2015-02-16,127.489998,129.500000,126.919998,129.500000,123.514084,194354900
2015-02-23,130.020004,133.600006,126.610001,128.460007,122.522156,368216200
2015-03-02,129.250000,130.279999,125.760002,126.599998,120.748108,246938500
2015-03-09,127.959999,129.570007,121.629997,123.589996,117.877243,326514100
2015-03-16,123.879997,129.250000,122.870003,125.900002,120.080482,266672900
2015-03-23,127.120003,128.039993,122.599998,123.250000,117.552971,209326300
2015-03-30,124.050003,126.489998,123.099998,125.320000,119.527283,162031800
2015-04-06,124.470001,128.119995,124.330002,127.099998,121.225006,182207500
2015-04-13,128.369995,128.570007,124.459999,124.750000,118.983627,171186100
2015-04-20,125.570000,130.630005,125.169998,130.279999,124.257996,207440700
2015-04-27,132.309998,134.539993,124.580002,128.949997,122.989487,420972300
2015-05-04,129.500000,130.570007,123.360001,127.620003,121.720970,271892000
2015-05-11,127.389999,129.490005,124.820000,128.770004,123.330833,208301500
2015-05-18,128.380005,132.970001,128.360001,132.539993,126.941574,217297400
2015-05-25,132.600006,132.910004,129.119995,130.279999,124.777046,198148600
2015-06-01,130.279999,131.389999,128.360001,128.649994,123.215904,170746700
2015-06-08,128.899994,130.179993,125.620003,127.169998,121.798416,220114600
