Date,Open,High,Low,Close,Adj Close,Volume
2014-10-27,164.330002,165.589996,162.759995,164.399994,148.093414,14453300
2014-11-03,164.250000,164.539993,160.050003,162.070007,145.994507,20602200
2014-11-10,161.899994,164.490005,161.610001,164.160004,148.889313,20088900
2014-11-17,164.160004,164.970001,159.800003,160.919998,145.950729,22271600
2014-11-24,161.539993,163.860001,161.009995,162.169998,147.084457,17052900
2014-12-01,161.639999,164.520004,161.350006,163.270004,148.082123,20936100
2014-12-08,163.289993,163.330002,155.330002,155.380005,140.926071,23386300
2014-12-15,155.929993,160.410004,150.500000,158.509995,143.764908,34581200
2014-12-22,158.330002,163.089996,158.330002,162.339996,147.238632,12506100
2014-12-29,162.000000,163.309998,159.449997,162.059998,146.984680,15699100
2015-01-05,161.270004,161.270004,154.029999,159.110001,144.309113,24450500
2015-01-12,159.000000,159.970001,153.740005,157.139999,142.522339,23255000
2015-01-19,156.699997,157.600006,151.070007,155.869995,141.370483,30847200
2015-01-26,158.259995,159.460007,149.520004,153.309998,139.048615,32928000
2015-02-02,154.000000,158.710007,151.509995,156.720001,142.141418,22405600
2015-02-09,156.000000,160.800003,155.080002,160.399994,146.499603,18165000
2015-02-16,159.750000,164.490005,159.729996,163.649994,149.467941,14105600
2015-02-23,164.229996,164.990005,159.770004,161.940002,147.906158,22287000
2015-03-02,161.940002,161.940002,158.059998,158.500000,144.764252,21114700
2015-03-09,158.199997,161.149994,153.399994,154.279999,140.909988,26128500
2015-03-16,155.050003,163.000000,154.800003,162.880005,148.764679,25675800
2015-03-23,162.770004,165.350006,158.910004,160.399994,146.499603,23534900
2015-03-30,161.309998,163.600006,158.389999,160.449997,146.545258,16752800
2015-04-06,159.690002,163.839996,158.699997,162.860001,148.746429,13917200
2015-04-13,162.369995,164.960007,160.029999,160.669998,146.746201,17535200
2015-04-20,162.100006,171.910004,161.899994,169.779999,155.066742,35155400
2015-04-27,170.889999,175.130005,170.020004,173.669998,158.619614,21878700
2015-05-04,174.470001,176.300003,168.860001,172.679993,157.715393,16798800
2015-05-11,172.649994,174.410004,168.839996,173.259995,159.442719,13436600
2015-05-18,173.440002,174.440002,171.929993,172.220001,158.485657,11892200
2015-05-25,172.110001,172.479996,169.130005,169.649994,156.120590,12346000
2015-06-01,170.210007,171.559998,167.199997,167.399994,154.050049,13867700
2015-06-08,167.169998,170.440002,163.369995,166.990005,153.672745,18362900
2015-06-15,166.990005,168.720001,164.250000,166.990005,153.672745,20763400
2015-06-22,167.649994,169.970001,165.229996,165.460007,152.264755,20940400
2015-06-29,163.919998,165.610001,162.119995,165.089996,151.924255,12979200
2015-07-06,163.830002,167.399994,162.229996,166.949997,153.635925,18144000
2015-07-13,167.929993,172.520004,167.520004,172.509995,158.752518,17138600
2015-07-20,172.789993,173.779999,159.410004,159.750000,147.010101,37124300
2015-07-27,159.000000,162.059998,158.500000,161.990005,149.071503,15380500
2015-08-03,161.699997,161.850006,154.339996,155.119995,142.749359,20148800
2015-08-10,156.770004,157.470001,153.949997,155.750000,144.518967,17070700
2015-08-17,155.199997,156.690002,148.699997,148.850006,138.116501,19847900
2015-08-24,143.470001,148.970001,140.619995,147.979996,137.309250,32537600
2015-08-31,147.380005,148.399994,141.850006,143.699997,133.337875,21391200
2015-09-07,145.860001,149.039993,144.509995,147.369995,136.743240,13890100
2015-09-14,147.369995,149.679993,143.979996,144.509995,134.089447,20514900
2015-09-21,145.389999,146.979996,141.949997,145.419998,134.933823,16818000
2015-09-28,144.419998,145.710007,140.559998,144.580002,134.154434,19940000
2015-10-05,145.820007,153.149994,145.820007,152.389999,141.401230,19456200
2015-10-12,152.399994,152.580002,148.580002,150.389999,139.545441,17456200
2015-10-19,149.850006,149.970001,139.300003,144.679993,134.247223,41827700
2015-10-26,144.750000,145.000000,137.330002,140.080002,129.978912,34695800
2015-11-02,140.500000,142.800003,137.869995,138.250000,128.280869,21521000
2015-11-09,137.919998,138.080002,131.649994,131.750000,123.396309,25076400
2015-11-16,131.789993,138.919998,131.789993,138.500000,129.718307,21085100
2015-11-23,138.529999,139.339996,137.119995,138.460007,129.680847,13199600
2015-11-30,138.610001,141.399994,137.990005,140.429993,131.525940,22947300
2015-12-07,140.160004,140.410004,133.910004,134.570007,126.037491,21888200
2015-12-14,135.309998,139.649994,134.020004,134.899994,126.346573,27803400
2015-12-21,135.830002,139.309998,134.020004,138.250000,129.484161,16358600
2015-12-28,137.740005,140.440002,136.539993,137.619995,128.894089,13502100
2016-01-04,135.600006,136.889999,131.320007,131.630005,123.283920,25253600
2016-01-11,131.809998,134.279999,128.869995,130.029999,121.785355,29463900
2016-01-18,130.110001,132.100006,118.000000,122.500000,114.732803,44227400
2016-01-25,122.099998,124.790001,120.650002,124.790001,116.877609,27276700
2016-02-01,124.400002,128.639999,122.290001,128.570007,120.417961,25459200
2016-02-08,126.000000,127.510002,116.900002,121.040001,113.365379,31999800
2016-02-15,121.830002,134.000000,121.339996,133.080002,125.915138,23959300
