\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2014/10/30,29-304,CLE,,NYK,L (-5),1,43:14:00,5,15,0.333,1,5,0.2,6,7,0.857,0,5,5,4,0,0,8,3,17,3.2,-13\
2,2,2014/10/31,29-305,CLE,@,CHI,W (+6),1,41:40:00,14,30,0.467,1,3,0.333,7,9,0.778,1,7,8,5,4,1,3,1,36,27.4,-3\
3,3,2014/11/4,29-309,CLE,@,POR,L (-19),1,34:56:00,4,12,0.333,2,4,0.5,1,1,1,1,6,7,7,1,0,3,2,11,8.8,-15\
4,4,2014/11/5,29-310,CLE,@,UTA,L (-2),1,42:02:00,8,18,0.444,3,5,0.6,12,12,1,0,3,3,4,3,0,4,2,31,23.5,+3\
5,5,2014/11/7,29-312,CLE,@,DEN,W (+9),1,39:38:00,8,18,0.444,1,5,0.2,5,6,0.833,0,7,7,11,1,1,3,1,22,20.3,+14\
6,6,2014/11/10,29-315,CLE,,NOP,W (+7),1,40:26:00,9,17,0.529,1,3,0.333,13,17,0.765,2,9,11,9,1,1,4,1,32,29.8,+15\
7,7,2014/11/14,29-319,CLE,@,BOS,W (+1),1,40:51:00,16,27,0.593,3,8,0.375,6,9,0.667,0,4,4,7,0,1,3,4,41,29.5,+10\
8,8,2014/11/15,29-320,CLE,,ATL,W (+33),1,28:54:00,13,20,0.65,4,5,0.8,2,4,0.5,2,4,6,7,0,1,3,1,32,27.2,+14\
9,9,2014/11/17,29-322,CLE,,DEN,L (-9),1,40:34:00,8,18,0.444,1,4,0.25,5,7,0.714,0,9,9,5,0,2,4,2,22,14.6,-13\
10,10,2014/11/19,29-324,CLE,,SAS,L (-2),1,34:06:00,6,17,0.353,2,3,0.667,1,1,1,3,3,6,9,1,1,5,3,15,10.3,-3\
11,11,2014/11/21,29-326,CLE,@,WAS,L (-13),1,39:02:00,8,21,0.381,2,7,0.286,4,7,0.571,3,1,4,4,1,1,3,0,22,13.2,-13\
12,12,2014/11/22,29-327,CLE,,TOR,L (-17),1,37:17:00,6,12,0.5,1,4,0.25,2,3,0.667,0,1,1,10,1,1,5,2,15,11.8,-8\
13,13,2014/11/24,29-329,CLE,,ORL,W (+32),1,31:00:00,9,17,0.529,2,4,0.5,9,11,0.818,1,3,4,11,3,0,1,0,29,31.2,+19\
14,14,2014/11/26,29-331,CLE,,WAS,W (+26),1,36:05:00,7,14,0.5,1,5,0.2,14,17,0.824,1,9,10,8,3,0,4,3,29,27.6,+24\
15,15,2014/11/29,29-334,CLE,,IND,W (+12),1,31:44:00,9,18,0.5,0,1,0,1,2,0.5,0,2,2,7,1,0,3,1,19,12.7,+14\
16,16,2014/12/2,29-337,CLE,,MIL,W (+3),1,41:05:00,6,15,0.4,0,4,0,14,21,0.667,1,4,5,10,0,0,7,1,26,16.6,+15\
17,17,2014/12/4,29-339,CLE,@,NYK,W (+3),1,39:31:00,7,17,0.412,1,6,0.167,4,7,0.571,1,4,5,12,2,0,4,2,19,16.2,+12\
18,18,2014/12/5,29-340,CLE,@,TOR,W (+14),1,42:27:00,9,18,0.5,2,4,0.5,4,6,0.667,0,7,7,13,3,1,4,2,24,24.3,+11\
