\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2016/10/25,31-300,CLE,,NYK,W (+29),1,32:23:00,9,14,0.643,0,3,0,1,2,0.5,3,8,11,14,0,1,4,3,19,22.2,+27\
2,2,2016/10/28,31-303,CLE,@,TOR,W (+3),1,38:40:00,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,2,21,14.1,0\
3,3,2016/10/29,31-304,CLE,,ORL,W (+6),1,39:00:00,7,16,0.438,2,6,0.333,7,11,0.636,1,5,6,9,1,1,2,2,23,20.4,+1\
4,4,2016/11/1,31-307,CLE,,HOU,W (+8),1,35:51:00,6,12,0.5,1,3,0.333,6,10,0.6,3,10,13,8,0,0,4,4,19,16.5,+15\
5,5,2016/11/3,31-309,CLE,,BOS,W (+6),1,36:22:00,12,22,0.545,1,4,0.25,5,5,1,1,6,7,12,1,0,2,2,30,28.5,+18\
6,6,2016/11/5,31-311,CLE,@,PHI,W (+1),1,35:52:00,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,1,25,22,+11\
7,7,2016/11/8,31-314,CLE,,ATL,L (-4),1,36:52:00,8,17,0.471,2,5,0.4,5,5,1,2,7,9,5,3,0,1,3,23,22.1,+7\
8,8,2016/11/11,31-317,CLE,@,WAS,W (+11),1,38:06:00,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,1,27,20.3,+7\
9,9,2016/11/13,31-319,CLE,,CHO,W (+7),1,38:42:00,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,0,19,13.8,+12\
10,10,2016/11/15,31-321,CLE,,TOR,W (+4),1,38:04:00,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,2,28,28.3,+1\
11,,2016/11/16,31-322,CLE,@,IND,L (-10),Did Not Dress,,,,,,,,,,,,,,,,,,,,,\
12,11,2016/11/18,31-324,CLE,,DET,W (+23),1,28:03:00,9,14,0.643,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,1,21,15.7,+21\
13,12,2016/11/23,31-329,CLE,,POR,W (+12),1,37:30:00,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,0,31,32.8,+17\
14,13,2016/11/25,31-331,CLE,,DAL,W (+38),1,29:03:00,6,13,0.462,2,5,0.4,5,5,1,0,5,5,11,1,0,4,1,19,18.1,+33\
15,14,2016/11/27,31-333,CLE,@,PHI,W (+4),1,41:30:00,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,24.4,+2\
16,15,2016/11/29,31-335,CLE,@,MIL,L (-17),1,32:53:00,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,3,22,8.2,-12\
17,16,2016/12/1,31-337,CLE,,LAC,L (-19),1,33:37:00,5,14,0.357,0,2,0,6,11,0.545,1,4,5,5,2,0,5,2,16,7.8,-20\
18,17,2016/12/2,31-338,CLE,@,CHI,L (-6),1,44:40:00,13,22,0.591,1,3,0.333,0,0,,0,5,5,13,0,0,8,2,27,18.6,-3\
19,18,2016/12/5,31-341,CLE,@,TOR,W (+4),1,42:01:00,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9,+9\
20,19,2016/12/7,31-343,CLE,@,NYK,W (+32),1,32:27:00,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,2,25,24.3,+32\
21,20,2016/12/9,31-345,CLE,,MIA,W (+30),1,37:19:00,12,22,0.545,1,3,0.333,2,4,0.5,2,6,8,8,3,0,3,2,27,23.6,+21\
22,21,2016/12/10,31-346,CLE,,CHO,W (+11),1,42:27:00,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,3,44,40,-2\
23,22,2016/12/13,31-349,CLE,,MEM,W (+17),1,36:29:00,9,17,0.529,0,4,0,5,8,0.625,1,5,6,8,3,0,6,1,23,17.9,+8\
24,,2016/12/14,31-350,CLE,@,MEM,L (-8),Not With Team,,,,,,,,,,,,,,,,,,,,,\
25,23,2016/12/17,31-353,CLE,,LAL,W (+11),1,38:55:00,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,1,26,24.8,+17\
