\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2015/10/27,30-301,CLE,@,CHI,L (-2),1,36:04:00,12,22,0.545,1,5,0.2,0,3,0,0,10,10,5,1,0,1,3,25,18.5,+1\
2,2,2015/10/28,30-302,CLE,@,MEM,W (+30),1,30:48:00,4,13,0.308,0,3,0,4,8,0.5,1,6,7,5,3,0,3,1,12,8.5,+10\
3,3,2015/10/30,30-304,CLE,,MIA,W (+10),1,33:56:00,13,19,0.684,0,2,0,3,5,0.6,2,3,5,4,1,0,4,3,29,21,+7\
4,4,2015/11/2,30-307,CLE,@,PHI,W (+7),1,33:20:00,9,19,0.474,0,3,0,4,4,1,0,9,9,11,4,2,3,3,22,23.9,+21\
5,5,2015/11/4,30-309,CLE,,NYK,W (+10),1,35:04:00,9,23,0.391,1,5,0.2,4,7,0.571,2,3,5,3,4,1,3,1,23,15,+14\
6,6,2015/11/6,30-311,CLE,,PHI,W (+6),1,36:20:00,12,22,0.545,3,5,0.6,4,6,0.667,0,4,4,13,2,0,2,1,31,29.5,+24\
7,7,2015/11/8,30-313,CLE,,IND,W (+4),1,35:01:00,10,23,0.435,0,3,0,9,14,0.643,0,6,6,4,0,0,2,0,29,17.5,+1\
8,8,2015/11/10,30-315,CLE,,UTA,W (+4),1,37:51:00,11,19,0.579,1,3,0.333,8,12,0.667,3,4,7,8,2,0,5,2,31,25.6,+4\
9,9,2015/11/13,30-318,CLE,@,NYK,W (+6),1,39:23:00,12,21,0.571,0,2,0,7,10,0.7,0,3,3,6,2,1,3,4,31,23.1,+17\
10,10,2015/11/14,30-319,CLE,@,MIL,L (-3),1,45:03:00,13,27,0.481,5,11,0.455,6,12,0.5,4,8,12,5,1,3,7,3,37,24.5,-2\
11,11,2015/11/17,30-322,CLE,@,DET,L (-5),1,39:48:00,11,21,0.524,4,7,0.571,4,5,0.8,0,6,6,3,0,0,4,3,30,18,-6\
12,12,2015/11/19,30-324,CLE,,MIL,W (+15),1,34:59:00,9,13,0.692,1,1,1,8,9,0.889,3,6,9,6,0,0,4,3,27,24,+13\
13,13,2015/11/21,30-326,CLE,,ATL,W (+12),1,33:20:00,8,15,0.533,1,2,0.5,2,2,1,2,9,11,8,0,2,3,1,19,19.4,+17\
14,14,2015/11/23,30-328,CLE,,ORL,W (+14),1,34:58:00,7,14,0.5,0,2,0,1,5,0.2,0,6,6,13,1,0,2,0,15,16.3,+29\
