\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2004/11/3,19-309,CLE,,IND,L (-5),1,50:00:00,8,19,0.421,2,5,0.4,10,12,0.833,1,4,5,8,1,3,6,2,28,20.9,-10\
2,2,2004/11/4,19-310,CLE,@,MIA,L (-6),1,43:00:00,9,22,0.409,2,3,0.667,1,1,1,3,3,6,8,1,0,1,0,21,17.8,-8\
3,3,2004/11/6,19-312,CLE,@,MIL,L (-14),1,42:00:00,8,20,0.4,0,3,0,15,22,0.682,2,6,8,6,3,0,4,0,31,23.8,-12\
4,4,2004/11/9,19-315,CLE,@,ATL,W (+14),1,48:00:00,8,17,0.471,1,4,0.25,8,12,0.667,1,9,10,4,4,2,3,2,25,22.5,+14\
5,5,2004/11/10,19-316,CLE,,PHO,W (+5),1,48:00:00,13,24,0.542,1,2,0.5,11,12,0.917,3,7,10,6,3,3,3,1,38,36.1,+14\
6,6,2004/11/13,19-319,CLE,,WAS,W (+31),1,38:00:00,10,20,0.5,0,3,0,4,5,0.8,1,8,9,4,3,2,4,0,24,19.9,+25\
7,7,2004/11/15,19-321,CLE,,GSW,W (+11),1,42:00:00,12,22,0.545,3,5,0.6,6,8,0.75,2,10,12,4,2,1,1,1,33,30.1,+15\
8,8,2004/11/18,19-324,CLE,@,CHA,W (+17),1,30:00:00,8,14,0.571,2,3,0.667,1,2,0.5,1,5,6,9,0,0,1,3,19,18.3,+21\
9,9,2004/11/20,19-326,CLE,,CHA,W (+16),1,38:00:00,11,20,0.55,0,2,0,3,4,0.75,5,3,8,2,3,1,7,0,25,17.5,+24\
10,10,2004/11/21,19-327,CLE,@,NYK,L (-10),1,40:00:00,5,15,0.333,1,3,0.333,2,3,0.667,2,7,9,10,1,1,5,3,13,10.1,+1\
11,11,2004/11/24,19-330,CLE,,DET,W (+16),1,38:00:00,15,22,0.682,2,3,0.667,11,12,0.917,3,3,6,5,3,1,3,3,43,39.2,+12\
12,12,2004/11/26,19-332,CLE,@,BOS,W (+2),1,43:00:00,9,13,0.692,0,2,0,2,3,0.667,0,6,6,8,3,1,2,2,20,22.4,+6\
13,13,2004/11/27,19-333,CLE,,CHI,W (+22),1,32:00:00,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,0,26,24.5,+25\
14,14,2004/11/29,19-335,CLE,@,LAC,L (-12),1,42:00:00,9,19,0.474,0,2,0,4,5,0.8,1,6,7,5,6,1,3,2,22,20.8,-16\
15,15,2004/12/1,19-337,CLE,@,PHO,L (-19),1,40:00:00,6,19,0.316,0,2,0,3,4,0.75,1,2,3,6,2,1,6,2,15,5.1,-17\
16,16,2004/12/2,19-338,CLE,@,DEN,W (+19),1,41:00:00,8,17,0.471,0,0,,1,2,0.5,1,7,8,9,2,1,5,3,17,13.5,+23\
