\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2005/11/2,20-307,CLE,,NOK,W (+22),1,33:23:00,9,16,0.563,6,7,0.857,7,8,0.875,1,2,3,4,2,0,3,3,31,24.9,+22\
2,2,2005/11/4,20-309,CLE,@,SAS,L (-26),1,36:34:00,7,16,0.438,0,3,0,6,7,0.857,0,6,6,4,0,1,3,3,20,12.3,-19\
3,3,2005/11/5,20-310,CLE,@,MEM,L (-7),1,40:51:00,14,29,0.483,4,9,0.444,4,5,0.8,0,2,2,6,2,0,2,2,36,24.9,-3\
4,4,2005/11/7,20-312,CLE,@,TOR,W (+12),1,36:28:00,9,17,0.529,0,2,0,9,12,0.75,0,3,3,6,1,2,1,3,27,22.8,0\
5,5,2005/11/9,20-314,CLE,,SEA,W (+27),1,35:38:00,10,18,0.556,0,2,0,11,11,1,1,4,5,1,0,1,4,1,31,21.3,+25\
6,6,2005/11/11,20-316,CLE,,MEM,W (+19),1,25:40:00,5,11,0.455,0,1,0,6,6,1,1,5,6,2,3,1,3,5,16,12.6,+24\
7,7,2005/11/13,20-318,CLE,@,ORL,W (+8),1,48:54:00,9,20,0.45,1,4,0.25,7,11,0.636,0,5,5,3,0,1,2,2,26,15.5,+7\
8,8,2005/11/15,20-320,CLE,,WAS,W (+15),1,42:26:00,15,23,0.652,2,3,0.667,5,5,1,1,9,10,4,0,2,3,1,37,31.1,+17\
9,9,2005/11/18,20-323,CLE,,ORL,W (+18),1,33:56:00,6,17,0.353,0,3,0,4,6,0.667,1,5,6,4,2,0,4,2,16,7.9,+25\
10,10,2005/11/19,20-324,CLE,@,PHI,W (+3),1,46:51:00,14,24,0.583,0,2,0,8,10,0.8,2,9,11,10,1,1,5,1,36,31.4,+8\
11,11,2005/11/22,20-327,CLE,,BOS,W (+22),1,40:59:00,13,20,0.65,1,3,0.333,9,11,0.818,0,5,5,4,2,2,1,4,36,31.5,+14\
12,12,2005/11/24,20-329,CLE,@,IND,L (-22),1,43:02:00,6,20,0.3,0,4,0,7,11,0.636,1,9,10,4,5,1,6,4,19,10.1,-18\
13,13,2005/11/26,20-331,CLE,,MIN,L (-4),1,44:04:00,13,29,0.448,6,11,0.545,6,6,1,2,3,5,2,4,0,2,2,38,27.8,-3\
14,14,2005/11/30,20-335,CLE,,LAC,W (+7),1,49:56:00,7,20,0.35,0,3,0,14,17,0.824,0,7,7,9,1,1,6,1,28,19.3,+6\
15,15,2005/12/2,20-337,CLE,@,SEA,L (-7),1,45:07:00,14,27,0.519,0,5,0,6,8,0.75,0,3,3,8,1,3,1,1,34,28.1,-2\
16,16,2005/12/3,20-338,CLE,@,LAC,L (-12),1,44:41:00,8,25,0.32,3,5,0.6,11,14,0.786,0,5,5,6,1,1,1,3,30,19.7,-11\
17,17,2005/12/6,20-341,CLE,@,SAC,W (+5),1,44:19:00,10,23,0.435,1,5,0.2,9,12,0.75,2,4,6,6,2,3,5,2,30,21.8,+3\
18,18,2005/12/9,20-344,CLE,,NJN,L (-9),1,44:49:00,11,26,0.423,0,4,0,10,15,0.667,2,4,6,3,0,1,7,3,32,13.4,-4\
19,19,2005/12/10,20-345,CLE,@,MIL,L (-5),1,42:48:00,19,29,0.655,5,9,0.556,9,10,0.9,0,7,7,7,2,0,3,5,52,42.9,-3\
20,20,2005/12/13,20-348,CLE,,ATL,L (-6),1,45:08:00,13,23,0.565,3,6,0.5,10,16,0.625,0,10,10,6,2,0,6,5,39,26.9,-4\
21,21,2005/12/15,20-350,CLE,,DEN,W (+9),1,45:06:00,11,18,0.611,1,4,0.25,3,6,0.5,0,4,4,9,1,0,3,3,26,20.9,+16\
22,22,2005/12/17,20-352,CLE,,MIA,W (+8),1,46:23:00,12,19,0.632,2,4,0.5,15,16,0.938,0,5,5,10,1,0,4,3,41,36.4,+9\
23,23,2005/12/20,20-355,CLE,,UTA,W (+25),1,28:55:00,8,12,0.667,1,1,1,8,9,0.889,2,4,6,4,3,2,5,1,25,23.8,+20\
24,24,2005/12/22,20-357,CLE,@,CHI,W (+8),1,43:51:00,12,25,0.48,4,6,0.667,9,13,0.692,0,5,5,6,4,0,2,2,37,29.6,+15\
25,25,2005/12/23,20-358,CLE,,IND,W (+5),1,43:51:00,4,16,0.25,0,1,0,6,11,0.545,1,7,8,9,1,0,3,1,14,9.1,+1\
26,26,2005/12/26,20-361,CLE,,CHI,W (+11),1,44:58:00,12,25,0.48,0,5,0,8,12,0.667,1,7,8,6,2,2,2,0,32,26.1,+14\
27,27,2005/12/27,20-362,CLE,@,NJN,L (-5),1,40:18:00,12,21,0.571,1,5,0.2,6,9,0.667,1,9,10,8,2,0,4,3,31,25.7,-2\
28,28,2005/12/31,21-001,CLE,,DET,W (+13),1,44:33:00,11,22,0.5,2,5,0.4,6,7,0.857,1,6,7,7,4,1,5,2,30,24.9,+5\
29,29,2006/1/4,21-005,CLE,@,MIL,W (+7),1,45:42:00,12,29,0.414,2,8,0.25,6,7,0.857,2,9,11,11,5,1,4,1,32,29.2,+8\
30,30,2006/1/5,21-006,CLE,,HOU,L (-9),1,44:15:00,13,19,0.684,3,7,0.429,3,6,0.5,1,8,9,5,1,0,3,4,32,25.7,-10\
31,31,2006/1/7,21-008,CLE,,MIL,W (+8),1,45:12:00,14,22,0.636,3,7,0.429,4,9,0.444,2,5,7,6,0,1,0,1,35,30.6,+4\
32,32,2006/1/10,21-011,CLE,,NYK,L (-8),1,46:00:00,14,31,0.452,0,7,0,8,11,0.727,0,7,7,7,0,1,1,0,36,25.4,-2\
33,33,2006/1/12,21-013,CLE,@,LAL,L (-1),1,40:06:00,11,22,0.5,2,3,0.667,4,9,0.444,0,2,2,9,0,0,5,2,28,16.1,+5\
34,34,2006/1/14,21-015,CLE,@,PHO,L (-9),1,43:45:00,18,28,0.643,5,8,0.625,5,5,1,0,7,7,8,1,0,1,1,46,40.9,-5\
35,35,2006/1/15,21-016,CLE,@,POR,L (-2),1,41:19:00,10,26,0.385,1,5,0.2,8,11,0.727,2,11,13,7,1,3,2,3,29,23.1,+12\
36,36,2006/1/18,21-019,CLE,@,DEN,L (-1),1,41:35:00,7,20,0.35,2,6,0.333,8,15,0.533,2,9,11,9,0,0,2,5,24,16.4,-3\
37,37,2006/1/20,21-021,CLE,@,GSW,L (-20),1,35:12:00,5,22,0.227,0,3,0,4,6,0.667,1,8,9,6,0,0,6,3,14,-0.1,-9\
38,38,2006/1/21,21-022,CLE,@,UTA,W (+18),1,42:47:00,19,35,0.543,4,8,0.5,9,11,0.818,0,5,5,8,2,0,3,4,51,37.8,+20\
39,39,2006/1/24,21-025,CLE,,IND,W (+30),1,35:22:00,7,21,0.333,2,5,0.4,7,10,0.7,0,7,7,8,2,2,1,0,23,20,+33\
40,40,2006/1/25,21-026,CLE,@,ATL,W (+9),1,45:54:00,11,22,0.5,1,5,0.2,15,20,0.75,1,8,9,6,3,1,5,2,38,30.2,+10\
41,41,2006/1/27,21-028,CLE,@,IND,W (+4),1,45:06:00,12,23,0.522,1,2,0.5,5,8,0.625,1,6,7,9,3,1,6,1,30,23.6,+4\
42,42,2006/1/29,21-030,CLE,,PHO,W (+7),1,42:45:00,17,33,0.515,3,7,0.429,7,12,0.583,1,10,11,7,1,1,6,1,44,29.6,+5\
43,43,2006/1/30,21-031,CLE,@,CHA,W (+12),1,31:34:00,11,19,0.579,2,6,0.333,6,11,0.545,1,5,6,6,5,1,4,2,30,26.4,+30\
44,44,2006/2/1,21-033,CLE,,NJN,W (+6),1,44:26:00,8,21,0.381,0,2,0,10,12,0.833,0,11,11,10,1,1,4,2,26,20.9,+5\
45,45,2006/2/2,21-034,CLE,@,MIA,L (-28),1,39:18:00,12,29,0.414,2,5,0.4,3,3,1,1,4,5,7,1,0,1,0,29,20.3,-15\
46,46,2006/2/4,21-036,CLE,,PHI,L (-5),1,47:11:00,10,17,0.588,2,7,0.286,9,10,0.9,2,2,4,6,2,1,4,0,31,27.6,-7\
47,47,2006/2/6,21-038,CLE,,MIL,W (+3),1,45:21:00,9,20,0.45,2,7,0.286,2,4,0.5,0,9,9,12,0,2,4,4,22,17.7,-3\
48,48,2006/2/8,21-040,CLE,@,MIN,W (+6),1,45:38:00,11,34,0.324,1,5,0.2,12,17,0.706,1,10,11,8,1,0,0,3,35,22.7,+10\
49,49,2006/2/10,21-042,CLE,@,WAS,L (-12),1,45:23:00,6,23,0.261,0,3,0,6,8,0.75,1,8,9,8,1,0,2,2,18,10.4,-13\
50,50,2006/2/11,21-043,CLE,,GSW,L (-8),1,43:48:00,10,17,0.588,5,6,0.833,8,8,1,1,4,5,6,1,2,2,5,33,29.6,-15\
51,51,2006/2/13,21-045,CLE,,SAS,W (+14),1,40:43:00,19,33,0.576,1,3,0.333,5,8,0.625,2,1,3,5,4,0,2,0,44,34.5,+12\
52,52,2006/2/15,21-047,CLE,@,BOS,W (+4),1,53:55:00,16,32,0.5,0,5,0,11,15,0.733,1,11,12,11,2,4,2,5,43,37.9,+5\
53,53,2006/2/21,21-053,CLE,,ORL,W (+13),1,42:51:00,10,24,0.417,1,5,0.2,5,7,0.714,0,2,2,9,1,2,2,0,26,19.7,+21\
54,54,2006/2/22,21-054,CLE,@,PHI,L (-9),1,43:07:00,13,24,0.542,1,4,0.25,6,10,0.6,3,3,6,5,2,1,6,3,33,21.8,-7\
55,55,2006/2/24,21-056,CLE,,WAS,L (-8),1,47:46:00,7,21,0.333,3,8,0.375,8,19,0.421,0,7,7,9,1,0,4,2,25,13.3,-8\
56,56,2006/2/26,21-058,CLE,@,DET,L (-12),1,37:46:00,9,20,0.45,2,3,0.667,2,3,0.667,1,8,9,7,0,0,3,3,22,15,-17\
57,57,2006/2/27,21-059,CLE,,DET,L (-12),1,46:34:00,9,22,0.409,0,3,0,8,10,0.8,1,3,4,6,0,1,5,0,26,14.9,-10\
58,58,2006/3/1,21-061,CLE,,SAC,L (-7),1,44:40:00,7,21,0.333,1,4,0.25,4,7,0.571,1,6,7,12,1,2,5,1,19,13.8,-5\
59,59,2006/3/2,21-062,CLE,@,CHI,W (+1),1,46:37:00,11,27,0.407,0,3,0,11,13,0.846,2,9,11,8,0,1,5,4,33,21.5,+4\
60,60,2006/3/5,21-065,CLE,,CHI,W (+19),1,46:27:00,15,28,0.536,1,3,0.333,6,6,1,0,9,9,7,2,0,3,3,37,28.8,+23\
61,61,2006/3/7,21-067,CLE,,TOR,W (+7),1,43:44:00,5,17,0.294,2,6,0.333,5,6,0.833,1,11,12,8,1,0,2,2,17,14.5,+14\
62,62,2006/3/8,21-068,CLE,@,TOR,W (+1),1,44:17:00,13,24,0.542,1,3,0.333,8,12,0.667,1,5,6,6,1,0,0,2,35,28.4,-4\
63,63,2006/3/10,21-070,CLE,@,ORL,L (-29),1,38:58:00,9,22,0.409,2,6,0.333,5,6,0.833,2,5,7,2,2,1,5,0,25,14.8,-18\
64,64,2006/3/12,21-072,CLE,@,MIA,L (-6),1,45:17:00,11,27,0.407,1,6,0.167,24,28,0.857,2,5,7,4,0,1,5,2,47,31.5,-7\
65,65,2006/3/14,21-074,CLE,@,DAL,L (-4),1,44:58:00,14,27,0.519,0,2,0,8,8,1,1,11,12,5,0,2,4,1,36,27.2,-8\
66,66,2006/3/17,21-077,CLE,,POR,W (+15),1,44:10:00,9,23,0.391,1,6,0.167,8,10,0.8,2,7,9,5,6,0,1,2,27,24.9,+14\
67,67,2006/3/19,21-079,CLE,,LAL,W (+1),1,46:52:00,10,24,0.417,3,4,0.75,6,10,0.6,1,7,8,7,1,0,7,3,29,15.1,0\
68,68,2006/3/22,21-082,CLE,,CHA,W (+2),1,50:11:00,10,21,0.476,1,5,0.2,16,23,0.696,0,11,11,12,0,1,5,4,37,29.3,+5\
69,69,2006/3/24,21-084,CLE,,BOS,W (+12),1,44:51:00,13,26,0.5,4,8,0.5,6,8,0.75,3,4,7,8,2,3,0,2,36,34.4,+8\
70,70,2006/3/26,21-086,CLE,@,HOU,W (+2),1,48:56:00,14,34,0.412,0,4,0,8,11,0.727,3,3,6,5,2,0,2,2,36,22.3,+4\
71,71,2006/3/29,21-089,CLE,,DAL,W (+13),1,43:26:00,16,23,0.696,4,7,0.571,10,13,0.769,0,5,5,4,3,0,2,3,46,39.2,+16\
72,72,2006/4/1,21-092,CLE,,MIA,W (+7),1,45:29:00,16,25,0.64,2,6,0.333,13,14,0.929,4,8,12,9,2,0,4,3,47,43.8,+13\
73,73,2006/4/2,21-093,CLE,@,CHA,W (+4),1,41:17:00,13,24,0.542,2,5,0.4,7,9,0.778,1,11,12,8,1,2,3,5,35,29.6,+2\
74,74,2006/4/4,21-095,CLE,,PHI,W (+33),1,34:40:00,13,22,0.591,4,10,0.4,7,9,0.778,1,3,4,7,4,0,3,4,37,31.9,+15\
75,75,2006/4/5,21-096,CLE,@,NYK,L (-2),1,44:48:00,12,24,0.5,4,7,0.571,8,14,0.571,0,2,2,7,3,0,5,3,36,23.9,-2\
76,76,2006/4/8,21-099,CLE,@,NJN,W (+6),1,44:09:00,12,26,0.462,0,3,0,13,16,0.813,1,4,5,7,1,0,6,5,37,22.2,+5\
77,77,2006/4/10,21-101,CLE,@,NOK,W (+2),1,42:07:00,12,24,0.5,0,3,0,8,12,0.667,1,3,4,6,0,0,2,1,32,21.8,+3\
78,78,2006/4/12,21-103,CLE,@,DET,L (-23),1,31:21:00,8,18,0.444,0,3,0,6,8,0.75,0,3,3,1,0,0,2,0,22,11.4,-11\
79,79,2006/4/16,21-107,CLE,@,WAS,L (-12),1,29:32:00,8,16,0.5,0,0,,1,2,0.5,0,5,5,4,1,1,3,2,17,10.8,-17}
