\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2012/10/30,27-305,MIA,,BOS,W (+13),1,28:52:00,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,26,25.1,+12\
2,2,2012/11/2,27-308,MIA,@,NYK,L (-20),1,36:41:00,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,23,16.5,-21\
3,3,2012/11/3,27-309,MIA,,DEN,W (+3),1,39:12:00,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,2,20,22.7,+7\
4,4,2012/11/5,27-311,MIA,,PHO,W (+25),1,30:11:00,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,15.7,+25\
5,5,2012/11/7,27-313,MIA,,BRK,W (+30),1,29:59:00,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,20,23.8,+18\
6,6,2012/11/9,27-315,MIA,@,ATL,W (+6),1,35:40:00,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,21,20.9,0\
7,7,2012/11/11,27-317,MIA,@,MEM,L (-18),1,35:43:00,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,20,17.4,-18\
8,8,2012/11/12,27-318,MIA,@,HOU,W (+3),1,39:55:00,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,38,31.4,+8\
9,9,2012/11/14,27-320,MIA,@,LAC,L (-7),1,41:13:00,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,30,21.1,-15\
10,10,2012/11/15,27-321,MIA,@,DEN,W (+5),1,41:57:00,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,27,24.9,+9\
11,11,2012/11/17,27-323,MIA,@,PHO,W (+9),1,40:43:00,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,1,21,13.8,+20\
12,12,2012/11/21,27-327,MIA,,MIL,W (+7),1,42:32:00,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,3,28,25,+5\
