\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
36,36,2011/1/3,26-004,MIA,@,CHA,W (+14),1,36:34:00,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,3,38,28.8,+20\
37,37,2011/1/4,26-005,MIA,,MIL,W (+12),1,36:35:00,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,2,25,24,+10\
38,38,2011/1/7,26-008,MIA,@,MIL,W (+6),1,45:16:00,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,2,26,20.1,+7\
39,39,2011/1/9,26-010,MIA,@,POR,W (+7),1,46:11:00,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,4,44,35.1,+5\
40,40,2011/1/12,26-013,MIA,@,LAC,L (-6),1,39:44:00,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,1,27,17.4,-3\
41,41,2011/1/18,26-019,MIA,,ATL,L (-4),1,44:17:00,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,3,34,20.5,-5\
42,42,2011/1/22,26-023,MIA,,TOR,W (+17),1,38:00:00,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,2,38,30.1,+13\
43,43,2011/1/27,26-028,MIA,@,NYK,L (-5),1,42:32:00,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,3,24,15,+5\
44,44,2011/1/28,26-029,MIA,,DET,W (+1),1,44:19:00,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,1,39,34,+4\
45,45,2011/1/30,26-031,MIA,@,OKC,W (+5),1,40:13:00,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,3,23,25.6,+6\
46,46,2011/1/31,26-032,MIA,,CLE,W (+27),1,31:22:00,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,1,24,22.8,+20\
47,47,2011/2/3,26-035,MIA,@,ORL,W (+4),1,42:39:00,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,2,51,46.7,+2\
48,48,2011/2/4,26-036,MIA,@,CHA,W (+12),1,36:39:00,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,3,19,17.2,+10\
49,49,2011/2/6,26-038,MIA,,LAC,W (+18),1,35:37:00,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,2,12,5.3,+15\
50,50,2011/2/8,26-040,MIA,,IND,W (+5),1,41:44:00,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,1,41,39.3,+18\
51,51,2011/2/11,26-043,MIA,@,DET,W (+14),1,34:43:00,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,0,16,16.9,+15\
52,52,2011/2/13,26-045,MIA,@,BOS,L (-3),1,43:28:00,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,2,22,14.5,+1\
53,53,2011/2/15,26-047,MIA,@,IND,W (+7),1,40:55:00,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,1,27,20.3,+9\
54,54,2011/2/16,26-048,MIA,@,TOR,W (+8),1,37:38:00,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,1,23,17.7,+6\
55,55,2011/2/22,26-054,MIA,,SAC,W (+20),1,30:24:00,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,4,31,17.9,+18\
56,56,2011/2/24,26-056,MIA,@,CHI,L (-4),1,41:26:00,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,1,29,25.5,+3\
57,57,2011/2/25,26-057,MIA,,WAS,W (+8),1,42:46:00,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,2,25,27,-4\
58,58,2011/2/27,26-059,MIA,,NYK,L (-5),1,39:08:00,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,2,27,19.7,-3\
59,59,2011/3/3,26-063,MIA,,ORL,L (-3),1,39:56:00,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,2,29,26.2,0\
