\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2017/10/17,32-291,CLE,,BOS,W (+3),1,41:12:00,12,19,0.632,1,5,0.2,4,4,1,1,15,16,9,0,2,4,3,29,28.2,+2\
2,2,2017/10/20,32-294,CLE,@,MIL,W (+19),1,37:25:00,10,16,0.625,2,4,0.5,2,2,1,1,4,5,8,1,1,5,1,24,20.6,+13\
3,3,2017/10/21,32-295,CLE,,ORL,L (-21),1,31:12:00,8,15,0.533,1,3,0.333,5,6,0.833,0,4,4,2,1,1,1,0,22,17.6,-31\
4,4,2017/10/24,32-298,CLE,,CHI,W (+7),1,37:15:00,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,1,34,35.1,+7\
5,5,2017/10/25,32-299,CLE,@,BRK,L (-5),1,41:22:00,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,1,29,25.1,-2\
6,6,2017/10/28,32-302,CLE,@,NOP,L (-22),1,30:46:00,6,11,0.545,1,3,0.333,5,6,0.833,0,3,3,8,0,0,4,3,18,13.6,-10\
7,7,2017/10/29,32-303,CLE,,NYK,L (-19),1,39:28:00,7,15,0.467,1,4,0.25,1,1,1,1,9,10,7,2,0,4,2,16,13.8,-17\
8,8,2017/11/1,32-306,CLE,,IND,L (-17),1,37:28:00,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,1,33,27,-12\
9,9,2017/11/3,32-308,CLE,@,WAS,W (+8),1,42:41:00,23,34,0.676,2,4,0.5,9,9,1,5,6,11,7,3,2,3,2,57,53.2,+6\
10,10,2017/11/5,32-310,CLE,,ATL,L (-2),1,40:35:00,10,17,0.588,0,3,0,6,6,1,2,3,5,13,1,2,6,4,26,24.3,-4\
11,11,2017/11/7,32-312,CLE,,MIL,W (+5),1,36:42:00,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,1,30,29.9,+6\
12,12,2017/11/9,32-314,CLE,@,HOU,L (-4),1,40:01:00,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,9,4,33,19,+5\
13,13,2017/11/11,32-316,CLE,@,DAL,W (+7),1,41:47:00,6,14,0.429,1,3,0.333,6,8,0.75,1,10,11,4,0,1,6,3,19,10.8,+5\
14,14,2017/11/13,32-318,CLE,@,NYK,W (+3),1,36:16:00,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,1,23,23.8,+2\
15,15,2017/11/15,32-320,CLE,@,CHO,W (+8),1,36:38:00,12,24,0.5,4,7,0.571,3,3,1,2,4,6,8,2,1,3,4,31,25.3,+1\
16,16,2017/11/17,32-322,CLE,,LAC,W (+5),1,46:08:00,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,0,39,28.8,+1\
17,17,2017/11/20,32-325,CLE,@,DET,W (+28),1,27:16:00,7,14,0.5,3,5,0.6,1,1,1,0,2,2,8,1,1,0,2,18,18.1,+21\
18,18,2017/11/22,32-327,CLE,,BRK,W (+10),1,33:26:00,11,17,0.647,4,7,0.571,7,9,0.778,1,5,6,5,2,0,3,2,33,28.6,+20\
19,19,2017/11/24,32-329,CLE,,CHO,W (+1),1,39:34:00,10,20,0.5,3,8,0.375,4,7,0.571,1,15,16,13,0,3,3,2,27,28.4,-2\
20,20,2017/11/27,32-332,CLE,@,PHI,W (+22),1,31:03:00,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,0,30,24.9,+1\
21,21,2017/11/28,32-333,CLE,,MIA,W (+11),1,28:26:00,10,16,0.625,1,3,0.333,0,1,0,2,10,12,6,5,1,2,1,21,25.3,+26\
22,22,2017/11/30,32-335,CLE,@,ATL,W (+7),1,37:34:00,8,11,0.727,3,6,0.5,5,7,0.714,1,5,6,12,2,2,3,3,24,28.5,+10\
},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
