\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
24,24,2012/2/7,27-039,MIA,,CLE,W (+16),1,38:40:00,9,16,0.563,0,1,0,6,7,0.857,1,4,5,6,2,0,6,1,24,17.7,+5\
25,25,2012/2/8,27-040,MIA,@,ORL,L (-13),1,39:15:00,5,15,0.333,0,2,0,7,10,0.7,0,6,6,10,3,0,3,0,17,16.1,-1\
26,26,2012/2/10,27-042,MIA,@,WAS,W (+17),1,33:17:00,6,14,0.429,0,2,0,6,7,0.857,0,2,2,9,0,2,1,1,18,17.1,+14\
27,27,2012/2/12,27-044,MIA,@,ATL,W (+20),1,30:26:00,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,1,23,22,+26\
28,28,2012/2/13,27-045,MIA,@,MIL,W (+18),1,32:54:00,16,21,0.762,0,0,,3,3,1,3,5,8,3,1,0,2,3,35,30.2,+14\
29,29,2012/2/14,27-046,MIA,@,IND,W (+15),1,33:24:00,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,2,23,24.5,+27\
30,30,2012/2/17,27-049,MIA,@,CLE,W (+24),1,30:08:00,11,19,0.579,3,5,0.6,3,3,1,2,3,5,5,1,1,2,2,28,23.8,+27\
31,31,2012/2/19,27-051,MIA,,ORL,W (+12),1,36:38:00,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,2,25,26.9,+23\
32,32,2012/2/21,27-053,MIA,,SAC,W (+12),1,33:13:00,7,11,0.636,2,2,1,2,2,1,0,4,4,8,0,2,3,1,18,17.9,+7\
33,33,2012/2/23,27-055,MIA,,NYK,W (+14),1,40:41:00,7,16,0.438,0,0,,6,6,1,1,8,9,8,5,2,4,3,20,21.5,+12\
34,34,2012/3/1,27-062,MIA,@,POR,W (+14),1,41:02:00,13,22,0.591,2,2,1,10,12,0.833,2,9,11,6,5,1,0,1,38,40.6,+8\
35,35,2012/3/2,27-063,MIA,@,UTA,L (-1),1,44:24:00,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,2,35,33.1,+7\
36,36,2012/3/4,27-065,MIA,@,LAL,L (-10),1,43:02:00,12,26,0.462,0,4,0,1,3,0.333,7,6,13,7,3,2,3,1,25,23.4,-13\
37,37,2012/3/6,27-067,MIA,,NJN,W (+30),1,29:36:00,9,11,0.818,1,1,1,2,2,1,1,8,9,6,0,0,5,0,21,19.2,+20\
38,38,2012/3/7,27-068,MIA,,ATL,W (+3),1,41:40:00,12,20,0.6,0,3,0,7,10,0.7,4,7,11,2,1,2,2,1,31,26.9,+7\
39,39,2012/3/10,27-071,MIA,,IND,W (+2),1,47:06:00,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,1,27,20.4,+3\
40,40,2012/3/13,27-074,MIA,@,ORL,L (-6),1,42:25:00,7,20,0.35,2,4,0.5,3,3,1,3,8,11,8,1,1,6,0,19,13.6,0\
41,41,2012/3/14,27-075,MIA,@,CHI,L (-4),1,39:38:00,14,25,0.56,2,3,0.667,5,5,1,1,4,5,4,4,0,2,2,35,29,+5\
42,42,2012/3/16,27-077,MIA,@,PHI,W (+6),1,38:15:00,12,20,0.6,0,2,0,5,8,0.625,2,5,7,8,2,2,1,0,29,29.5,+10\
43,43,2012/3/18,27-079,MIA,,ORL,W (+10),1,38:58:00,4,14,0.286,0,1,0,6,8,0.75,0,12,12,7,5,0,4,4,14,12.9,+13\
44,44,2012/3/20,27-081,MIA,,PHO,W (+4),1,37:54:00,8,18,0.444,0,3,0,4,6,0.667,1,7,8,6,2,2,3,2,20,16.4,+15\
45,45,2012/3/23,27-084,MIA,@,DET,W (+15),1,37:26:00,6,15,0.4,0,3,0,5,5,1,0,6,6,10,4,1,5,0,17,17.4,+8\
46,46,2012/3/25,27-086,MIA,@,OKC,L (-16),1,39:36:00,8,18,0.444,0,3,0,1,1,1,0,3,3,7,2,0,4,2,17,10.6,-10\
47,47,2012/3/26,27-087,MIA,@,IND,L (-15),1,40:49:00,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,1,24,11.6,-14\
48,48,2012/3/29,27-090,MIA,,DAL,W (+21),1,36:13:00,8,16,0.5,0,2,0,3,3,1,3,6,9,5,2,0,3,3,19,16.2,+9\
49,49,2012/3/30,27-091,MIA,@,TOR,W (+12),1,38:31:00,11,18,0.611,0,2,0,4,6,0.667,1,3,4,9,1,0,3,0,26,22.9,+9\
50,50,2012/4/1,27-093,MIA,@,BOS,L (-19),1,34:37:00,11,20,0.55,0,0,,1,2,0.5,2,2,4,0,0,1,2,1,23,13.3,-30\
51,51,2012/4/3,27-095,MIA,,PHI,W (+6),1,38:04:00,15,25,0.6,1,2,0.5,10,13,0.769,3,3,6,4,3,1,4,0,41,33.8,+12\
52,52,2012/4/4,27-096,MIA,,OKC,W (+5),1,41:30:00,10,20,0.5,3,7,0.429,11,13,0.846,1,6,7,10,4,1,2,2,34,34.6,+20\
53,53,2012/4/6,27-098,MIA,,MEM,L (-15),1,37:38:00,8,19,0.421,2,6,0.333,3,4,0.75,2,4,6,6,2,0,3,0,21,16.3,-6\
54,54,2012/4/8,27-100,MIA,,DET,W (+23),1,32:15:00,12,22,0.545,1,3,0.333,1,5,0.2,3,1,4,2,0,1,1,1,26,16.9,+10\
55,55,2012/4/10,27-102,MIA,,BOS,L (-8),1,40:51:00,11,23,0.478,1,3,0.333,13,14,0.929,5,2,7,7,1,1,2,3,36,31.4,-6\
56,56,2012/4/12,27-104,MIA,@,CHI,L (-10),1,47:18:00,11,24,0.458,3,6,0.5,5,7,0.714,1,5,6,5,1,1,4,1,30,19.8,-1\
57,57,2012/4/13,27-105,MIA,,CHA,W (+23),1,28:44:00,7,16,0.438,0,1,0,5,7,0.714,1,8,9,5,2,1,2,1,19,16.7,+18\
58,58,2012/4/15,27-107,MIA,@,NYK,W (+8),1,40:15:00,11,24,0.458,1,6,0.167,6,9,0.667,2,8,10,3,2,0,6,4,29,15.7,+18\
59,59,2012/4/16,27-108,MIA,@,NJN,W (+3),1,35:12:00,11,19,0.579,1,2,0.5,14,15,0.933,1,5,6,7,2,1,4,2,37,32.7,-4\
60,60,2012/4/18,27-110,MIA,,TOR,W (+24),1,30:12:00,12,15,0.8,1,1,1,3,4,0.75,0,5,5,4,2,0,5,0,28,23.2,+20\
61,61,2012/4/19,27-111,MIA,,CHI,W (+11),1,35:20:00,8,18,0.444,1,2,0.5,10,12,0.833,0,11,11,6,0,1,1,3,27,22.8,+11\
62,62,2012/4/22,27-114,MIA,,HOU,W (+9),1,35:52:00,11,21,0.524,1,3,0.333,9,10,0.9,1,7,8,5,1,2,5,1,32,24.6,+12\
},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
