\f0\fs24 \cf0 Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2011/12/25,26-360,MIA,@,DAL,W (+11),1,36:16:00,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,3,37,34.1,+27\
2,2,2011/12/27,26-362,MIA,,BOS,W (+8),1,36:00:00,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,3,26,23.6,-7\
3,3,2011/12/28,26-363,MIA,@,CHA,W (+1),1,38:49:00,13,23,0.565,0,0,,9,9,1,0,6,6,7,3,2,2,0,35,33.2,+5\
4,4,2011/12/30,27-000,MIA,@,MIN,W (+2),1,37:13:00,16,26,0.615,0,1,0,2,4,0.5,1,7,8,10,4,1,4,2,34,31.1,+14\
5,5,2012/1/1,27-002,MIA,,CHA,W (+39),1,28:02:00,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,2,16,15,+24\
6,6,2012/1/2,27-003,MIA,,ATL,L (-8),1,38:33:00,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,1,28,21.3,-1\
7,7,2012/1/4,27-005,MIA,,IND,W (+35),1,37:41:00,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,2,33,33.8,+31\
8,8,2012/1/7,27-008,MIA,@,NJN,W (+11),1,37:23:00,11,17,0.647,0,1,0,10,12,0.833,0,7,7,9,2,1,8,2,32,26,+7\
9,9,2012/1/10,27-011,MIA,@,GSW,L (-5),1,42:33:00,10,19,0.526,0,2,0,6,8,0.75,1,10,11,7,2,0,5,1,26,21.1,-5\
10,10,2012/1/11,27-012,MIA,@,LAC,L (-6),1,41:53:00,7,19,0.368,0,1,0,9,17,0.529,2,11,13,7,2,0,6,5,23,12.9,-9\
11,11,2012/1/13,27-014,MIA,@,DEN,L (-13),1,37:11:00,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,0,35,29,-16\
12,12,2012/1/17,27-018,MIA,,SAS,W (+22),1,34:53:00,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,0,33,26.4,+19\
13,13,2012/1/19,27-020,MIA,,LAL,W (+11),1,37:13:00,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,4,31,26.8,0\
14,14,2012/1/21,27-022,MIA,,PHI,W (+21),1,35:47:00,12,17,0.706,0,0,,4,4,1,0,9,9,5,4,3,4,1,28,28.8,+9\
15,15,2012/1/22,27-023,MIA,,MIL,L (-9),1,37:22:00,8,18,0.444,0,1,0,12,13,0.923,4,9,13,5,1,0,3,2,28,24.4,-4\
16,16,2012/1/24,27-025,MIA,,CLE,W (+7),1,37:48:00,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,1,18,7.3,+9\
17,17,2012/1/25,27-026,MIA,@,DET,W (+3),1,41:39:00,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,3,32,25.1,+6\
18,18,2012/1/27,27-028,MIA,,NYK,W (+10),1,40:17:00,11,18,0.611,0,2,0,9,10,0.9,1,7,8,7,0,0,4,2,31,25.3,+4\
19,19,2012/1/29,27-030,MIA,,CHI,W (+4),1,40:58:00,12,23,0.522,1,1,1,10,15,0.667,1,10,11,5,0,1,6,2,35,22.8,+3\
20,20,2012/1/30,27-031,MIA,,NOH,W (+14),1,29:44:00,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,1,22,23.1,+29\
21,21,2012/2/1,27-033,MIA,@,MIL,L (-8),1,40:17:00,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,1,40,28.5,-6\
22,22,2012/2/3,27-035,MIA,@,PHI,W (+20),1,37:13:00,8,16,0.5,0,1,0,3,6,0.5,1,11,12,8,0,2,2,2,19,18,+19\
23,23,2012/2/5,27-037,MIA,,TOR,W (+6),1,38:29:00,10,17,0.588,0,1,0,10,12,0.833,0,9,9,2,1,0,5,1,30,21,+11\
